행정구역별(읍면동),연령별,총인구(명)
홍천군,15~19세,2650
홍천군,20~24세,3109
홍천군,25~29세,3400
홍천군,30~34세,2927
홍천군,35~39세,3244
홍천군,40~44세,3575
홍천군,45~49세,4396
횡성군,15~19세,2079
횡성군,20~24세,2077
횡성군,25~29세,1790
횡성군,30~34세,1581
횡성군,35~39세,1938
횡성군,40~44세,2081
횡성군,45~49세,2733
영월군,15~19세,1485
영월군,20~24세,1549
영월군,25~29세,1315
영월군,30~34세,1188
영월군,35~39세,1525
영월군,40~44세,1809
영월군,45~49세,2575
평창군,15~19세,1272
평창군,20~24세,1466
평창군,25~29세,1525
평창군,30~34세,1349
평창군,35~39세,1695
평창군,40~44세,2161
평창군,45~49세,2913
정선군,15~19세,1125
정선군,20~24세,1145
정선군,25~29세,1217
정선군,30~34세,1379
정선군,35~39세,1732
정선군,40~44세,2112
정선군,45~49세,2612
철원군,15~19세,1716
철원군,20~24세,2412
철원군,25~29세,3155
철원군,30~34세,2342
철원군,35~39세,2432
철원군,40~44세,2571
철원군,45~49세,2997
화천군,15~19세,795
화천군,20~24세,1545
화천군,25~29세,2098
화천군,30~34세,1579
화천군,35~39세,1302
화천군,40~44세,1223
화천군,45~49세,1413
양구군,15~19세,1050
양구군,20~24세,1199
양구군,25~29세,1642
양구군,30~34세,1317
양구군,35~39세,1256
양구군,40~44세,1146
양구군,45~49세,1329
인제군,15~19세,878
인제군,20~24세,1507
인제군,25~29세,2208
인제군,30~34세,1877
인제군,35~39세,1948
인제군,40~44세,1847
인제군,45~49세,1997
고성군,15~19세,877
고성군,20~24세,1967
고성군,25~29세,1692
고성군,30~34세,1167
고성군,35~39세,1187
고성군,40~44세,1274
고성군,45~49세,1697
양양군,15~19세,871
양양군,20~24세,1020
양양군,25~29세,1127
양양군,30~34세,1024
양양군,35~39세,1347
양양군,40~44세,1543
양양군,45~49세,1844
읍부,15~19세,16826
읍부,20~24세,20711
읍부,25~29세,23076
읍부,30~34세,23684
읍부,35~39세,28071
읍부,40~44세,27797
읍부,45~49세,27891
면부,15~19세,11193
면부,20~24세,18614
면부,25~29세,19453
면부,30~34세,17409
면부,35~39세,17740
면부,40~44세,17084
면부,45~49세,20274
동부,15~19세,52330
동부,20~24세,73346
동부,25~29세,68083
동부,30~34세,55656
동부,35~39세,65285
동부,40~44세,69499
동부,45~49세,79971
충주시,15~19세,10682
충주시,20~24세,16672
충주시,25~29세,14963
